#see: http://cancer.sanger.ac.uk/cosmic/fusion
#fusion	samples	mutations	papers 
ACBD6-RRP15	2	2	1
ACSL3_ENST00000357430-ETV1	23	1	1
ACTB-GLI1	6	6	4
AGPAT5-MCPH1	2	2	1
AGTRAP-BRAF	1	1	4
AKAP9_ENST00000356239-BRAF	292	4	11
ARFIP1-FHDC1	2	2	1
ARID1A-MAST2_ENST00000361297	153	1	1
ASPSCR1-TFE3	221	75	33
ATG4C-FBXO38	2	2	1
ATIC-ALK	99	12	20
BBS9-PKD1L1	2	2	1
BCR-ABL1	8832	5480	244
BCR-JAK2	134	3	6
BRD3-NUTM1	3	2	6
BRD4_ENST00000263377-NUTM1	174	19	13
C2orf44-ALK	1	1	1
CANT1-ETV4	2	2	2
CARS-ALK	4	3	6
CBFA2T3-GLIS2	538	87	7
CCDC6-RET	6833	593	164
CD74_ENST00000009530-NRG1	882	11	4
CD74_ENST00000009530-ROS1	1701	39	50
CDH11-USP6_ENST00000250066	128	13	3
CDKN2D-WDFY2	67	13	1
CEP89-BRAF	38	1	1
CHCHD7-PLAG1	120	4	4
CIC-DUX4L1	39	13	4
CIC-FOXO4	2	2	3
CLCN6-BRAF	96	1	1
CLIP1-ROS1	38	1	1
CLTC-ALK	173	26	25
CLTC-TFE3	3	1	4
CNBP-USP6_ENST00000250066	1	1	2
COL1A1-PDGFB	400	262	52
COL1A1-USP6_ENST00000250066	2	2	3
COL1A2-PLAG1	4	1	3
CRTC1-MAML2	632	253	36
CRTC3-MAML2	302	13	3
CTAGE5-SIP1	2	2	1
CTNNB1-PLAG1	108	17	9
DCTN1-ALK	39	3	2
DDX5_ENST00000540698-ETV4	1	1	1
DHH-RHEBL1	60	8	1
DNAJB1-PRKACA	186	107	6
EIF3E-RSPO2	69	2	3
EIF3K-CYP39A1	2	2	1
EML4-ALK	11215	703	514
EPC1-PHF1	1	1	3
ERC1-RET	194	2	9
ERC1-ROS1	38	1	1
ERO1L-FERMT2	2	2	1
ESRP1-RAF1	4	1	2
ETV6-ABL1	811	32	25
ETV6-ITPR2	2	2	1
ETV6-JAK2	192	4	8
ETV6-NTRK3	1059	144	49
ETV6-RUNX1	2277	357	43
EWSR1-ATF1	357	179	46
EWSR1-CREB1	85	28	11
EWSR1-DDIT3	344	26	27
EWSR1-ERG	1639	122	90
EWSR1-ETV1	65	4	11
EWSR1-ETV4	66	3	12
EWSR1-FEV	92	6	16
EWSR1-FLI1	2132	1332	165
EWSR1-NFATC1	1	1	1
EWSR1-NFATC2	4	4	2
EWSR1-NR4A3	176	85	22
EWSR1-PATZ1	1	1	2
