Tissue,Sample,Gene_A,Gene_B
ACC,TCGA-OR-A5J1-01A,CWC27,PPAP2A
ACC,TCGA-OR-A5J1-01A,DAB2,ARSB
ACC,TCGA-OR-A5J1-01A,DAB2,COL4A3BP
ACC,TCGA-OR-A5J1-01A,DYNC1I1,ASB4
ACC,TCGA-OR-A5J1-01A,HNRNPUL1,CLIP3
ACC,TCGA-OR-A5J1-01A,KCTD5,TSC2
ACC,TCGA-OR-A5J1-01A,LSP1,SYT8
ACC,TCGA-OR-A5J1-01A,MLL,ATP5L
ACC,TCGA-OR-A5J1-01A,NRG4,SCNN1D
ACC,TCGA-OR-A5J1-01A,PAPD4,GPBP1
ACC,TCGA-OR-A5J1-01A,PARP8,ANKRD55
ACC,TCGA-OR-A5J1-01A,PPP1R2,APOD
ACC,TCGA-OR-A5J1-01A,PPP6R3,LRP5
ACC,TCGA-OR-A5J1-01A,PRLR,CLPTM1L
ACC,TCGA-OR-A5J1-01A,RBM14,BBS1
ACC,TCGA-OR-A5J1-01A,RICTOR,ANKRD31
ACC,TCGA-OR-A5J1-01A,TBCD,GLIPR2
ACC,TCGA-OR-A5J1-01A,TNPO1,MEF2C
ACC,TCGA-OR-A5J1-01A,UIMC1,DBN1
ACC,TCGA-OR-A5J2-01A,AJAP1,CYTH3
ACC,TCGA-OR-A5J2-01A,ASXL2,PPWD1
ACC,TCGA-OR-A5J2-01A,DLK1,THSD4
ACC,TCGA-OR-A5J6-01A,ACTB,AC120194.1
ACC,TCGA-OR-A5J7-01A,AC007182.1,BATF
ACC,TCGA-OR-A5J7-01A,AS3MT,SUFU
ACC,TCGA-OR-A5J7-01A,CCAR1,TET1
ACC,TCGA-OR-A5J7-01A,CNNM2,C10orf26
ACC,TCGA-OR-A5J7-01A,DHCR24,FADS2
ACC,TCGA-OR-A5J7-01A,EXOSC10,MTOR
ACC,TCGA-OR-A5J7-01A,GTF2I,FLAD1
ACC,TCGA-OR-A5J7-01A,GTF2IRD1,DUS3L
ACC,TCGA-OR-A5J7-01A,HEG1,SLC12A8
ACC,TCGA-OR-A5J7-01A,HSD17B14,PLEKHA4
ACC,TCGA-OR-A5J7-01A,KIF1B,FAM58A
ACC,TCGA-OR-A5J7-01A,LSP1,SYT8
ACC,TCGA-OR-A5J7-01A,MADD,ASIP
ACC,TCGA-OR-A5J7-01A,MAPKAPK5,ALDH2
